"Alue","Vuosi","Koulutussektori","Ulkomaalaiset opiskelijat","Vieraskieliset opiskelijat"
"Alavieska","2020","Ammattikorkeakoulutus",0,0
"Alavieska","2020","Yliopistokoulutus",0,0
"Alavieska","2021","Perusopetus",0,0
"Alavieska","2021","Perusasteen jälkeinen koulutus yhteensä",0,0
"Alavieska","2021","Lukiokoulutus",0,0
"Alavieska","2021","Ammatillinen koulutus",0,0
"Alavieska","2021","Ammattikorkeakoulutus",0,0
"Alavieska","2021","Yliopistokoulutus",0,0
"Alavieska","2022","Perusopetus",0,0
"Alavieska","2022","Perusasteen jälkeinen koulutus yhteensä",0,0
"Alavieska","2022","Lukiokoulutus",0,0
"Alavieska","2022","Ammatillinen koulutus",0,0
"Alavieska","2022","Ammattikorkeakoulutus",0,0
"Alavieska","2022","Yliopistokoulutus",0,0
"Alavus","2004","Perusopetus",0,0
"Alavus","2004","Perusasteen jälkeinen koulutus yhteensä",0,2
"Alavus","2004","Lukiokoulutus",0,2
"Alavus","2004","Ammatillinen koulutus",0,0
"Alavus","2004","Ammattikorkeakoulutus",0,0
"Alavus","2004","Yliopistokoulutus",0,0
"Alavus","2005","Perusopetus",0,0
"Alavus","2005","Perusasteen jälkeinen koulutus yhteensä",2,2
"Alavus","2005","Lukiokoulutus",0,0
"Alavus","2005","Ammatillinen koulutus",2,2
"Alavus","2005","Ammattikorkeakoulutus",0,0
"Alavus","2005","Yliopistokoulutus",0,0
"Alavus","2006","Perusopetus",0,0
"Alavus","2006","Perusasteen jälkeinen koulutus yhteensä",2,2
"Alavus","2006","Lukiokoulutus",0,0
"Alavus","2006","Ammatillinen koulutus",2,2
"Alavus","2006","Ammattikorkeakoulutus",0,0
"Alavus","2006","Yliopistokoulutus",0,0
"Alavus","2007","Perusopetus",0,0
"Alavus","2007","Perusasteen jälkeinen koulutus yhteensä",2,2
"Alavus","2007","Lukiokoulutus",0,0
"Alavus","2007","Ammatillinen koulutus",2,2
"Alavus","2007","Ammattikorkeakoulutus",0,0
"Alavus","2007","Yliopistokoulutus",0,0
"Alavus","2008","Perusopetus",0,0
"Alavus","2008","Perusasteen jälkeinen koulutus yhteensä",2,3
"Alavus","2008","Lukiokoulutus",1,2
"Alavus","2008","Ammatillinen koulutus",1,1
"Alavus","2008","Ammattikorkeakoulutus",0,0
"Alavus","2008","Yliopistokoulutus",0,0
"Alavus","2009","Perusopetus",0,0
"Alavus","2009","Perusasteen jälkeinen koulutus yhteensä",2,3
"Alavus","2009","Lukiokoulutus",2,3
"Alavus","2009","Ammatillinen koulutus",0,0
"Alavus","2009","Ammattikorkeakoulutus",0,0
"Alavus","2009","Yliopistokoulutus",0,0
"Alavus","2010","Perusopetus",0,0
"Alavus","2010","Perusasteen jälkeinen koulutus yhteensä",4,6
"Alavus","2010","Lukiokoulutus",2,4
"Alavus","2010","Ammatillinen koulutus",2,2
"Alavus","2010","Ammattikorkeakoulutus",0,0
"Alavus","2010","Yliopistokoulutus",0,0
"Alavus","2011","Perusopetus",0,0
"Alavus","2011","Perusasteen jälkeinen koulutus yhteensä",3,3
"Alavus","2011","Lukiokoulutus",1,1
"Alavus","2011","Ammatillinen koulutus",2,2
"Alavus","2011","Ammattikorkeakoulutus",0,0
"Alavus","2011","Yliopistokoulutus",0,0
"Alavus","2012","Perusopetus",0,0
"Alavus","2012","Perusasteen jälkeinen koulutus yhteensä",3,3
"Alavus","2012","Lukiokoulutus",1,1
"Alavus","2012","Ammatillinen koulutus",2,2
"Alavus","2012","Ammattikorkeakoulutus",0,0
"Alavus","2012","Yliopistokoulutus",0,0
"Alavus","2013","Perusopetus",0,0
"Alavus","2013","Perusasteen jälkeinen koulutus yhteensä",4,3
"Alavus","2013","Lukiokoulutus",1,0
