"Matkan kohdekunta","Vuosi","Yön yli matkoja, tuhatta matkaa","Matkojen muutos, %","Yöpymisiä, tuhatta yöpymistä","Yöpymisten muutos, %","Matkan keskimääräinen kesto, yötä","Matkan mediaanikesto, yötä"
"Vaasa","2016",250,-33,630,-38,2.5,2.0
"Vaasa","2017",280,14,620,-3,2.2,2.0
"Vaasa","2018",280,1,670,9,2.4,2.0
"Vaasa","2019",330,18,830,24,2.5,2.0
"Vaasa","2020",130,-60,360,-57,2.8,2.0
"Vaasa","2021",180,33,500,40,2.8,2.0
"Vaasa","2022",190,9,510,3,2.7,2.0
"Vaasa","2023",.,.,.,.,.,.
"Vantaa","2012",230,.,480,.,2.1,2.0
"Vantaa","2013",220,-6,480,-2,2.2,2.0
"Vantaa","2014",230,7,570,21,2.5,2.0
"Vantaa","2015",270,16,630,10,2.3,2.0
"Vantaa","2016",220,-19,530,-16,2.4,2.0
"Vantaa","2017",260,18,540,2,2.1,2.0
"Vantaa","2018",180,-29,380,-30,2.1,2.0
"Vantaa","2019",290,58,730,94,2.5,2.0
"Vantaa","2020",130,-57,450,-39,3.5,2.0
"Vantaa","2021",200,63,790,77,4.0,2.0
"Vantaa","2022",230,15,570,-28,2.5,2.0
"Vantaa","2023",100,-57,240,-57,2.4,2.0
"Varkaus","2012",120,..,400,..,3.3,2.0
"Varkaus","2013",110,-10,230,-42,2.1,2.0
"Varkaus","2014",150,31,410,76,2.7,2.0
"Varkaus","2015",120,-19,310,-24,2.6,2.0
"Varkaus","2016",100,-19,250,-19,2.5,2.0
"Varkaus","2017",100,6,360,45,3.6,2.0
"Varkaus","2018",140,35,430,20,3.1,2.5
"Varkaus","2019",.,.,.,.,.,.
"Varkaus","2020",.,.,.,.,.,.
"Varkaus","2021",120,..,400,..,3.3,2.0
"Varkaus","2022",.,.,.,.,.,.
"Varkaus","2023",.,.,.,.,.,.
"Vihti","2012",.,.,.,.,.,.
"Vihti","2013",.,.,.,.,.,.
"Vihti","2014",100,..,230,..,2.3,2.0
"Vihti","2015",.,.,.,.,.,.
"Vihti","2016",.,.,.,.,.,.
"Vihti","2017",.,.,.,.,.,.
"Vihti","2018",140,..,320,..,2.3,2.0
"Vihti","2019",.,.,.,.,.,.
"Vihti","2020",110,..,410,..,3.7,2.0
"Vihti","2021",120,9,450,11,3.8,2.0
"Vihti","2022",.,.,.,.,.,.
"Vihti","2023",.,.,.,.,.,.
"Virrat","2012",.,.,.,.,.,.
"Virrat","2013",110,..,400,..,3.6,2.0
"Virrat","2014",110,2,280,-31,2.5,2.0
"Virrat","2015",.,.,.,.,.,.
"Virrat","2016",.,.,.,.,.,.
"Virrat","2017",100,..,450,..,4.5,3.0
"Virrat","2018",.,.,.,.,.,.
"Virrat","2019",.,.,.,.,.,.
"Virrat","2020",.,.,.,.,.,.
"Virrat","2021",130,..,600,..,4.6,6.0
"Virrat","2022",.,.,.,.,.,.
"Virrat","2023",.,.,.,.,.,.
"Ylöjärvi","2012",110,..,230,..,2.1,2.0
"Ylöjärvi","2013",.,.,.,.,.,.
"Ylöjärvi","2014",.,.,.,.,.,.
"Ylöjärvi","2015",.,.,.,.,.,.
"Ylöjärvi","2016",.,.,.,.,.,.
"Ylöjärvi","2017",.,.,.,.,.,.
"Ylöjärvi","2018",100,..,300,..,3.0,2.0
"Ylöjärvi","2019",.,.,.,.,.,.
"Ylöjärvi","2020",120,..,320,..,2.7,2.0
"Ylöjärvi","2021",240,94,700,121,2.9,2.0
"Ylöjärvi","2022",110,-55,300,-57,2.7,2.0
"Ylöjärvi","2023",.,.,.,.,.,.
"Ähtäri","2012",.,.,.,.,.,.
"Ähtäri","2013",.,.,.,.,.,.
"Ähtäri","2014",.,.,.,.,.,.
"Ähtäri","2015",.,.,.,.,.,.
"Ähtäri","2016",.,.,.,.,.,.
"Ähtäri","2017",.,.,.,.,.,.
"Ähtäri","2018",190,..,430,..,2.3,2.0
"Ähtäri","2019",.,.,.,.,.,.
"Ähtäri","2020",.,.,.,.,.,.
"Ähtäri","2021",.,.,.,.,.,.
"Ähtäri","2022",.,.,.,.,.,.
"Ähtäri","2023",.,.,.,.,.,.
"Äänekoski","2012",110,..,310,..,2.8,2.0
"Äänekoski","2013",.,.,.,.,.,.
"Äänekoski","2014",.,.,.,.,.,.
"Äänekoski","2015",.,.,.,.,.,.
"Äänekoski","2016",.,.,.,.,.,.
"Äänekoski","2017",100,..,270,..,2.7,3.0
"Äänekoski","2018",150,48,490,83,3.3,2.0
"Äänekoski","2019",.,.,.,.,.,.
"Äänekoski","2020",.,.,.,.,.,.
"Äänekoski","2021",.,.,.,.,.,.
"Äänekoski","2022",.,.,.,.,.,.
"Äänekoski","2023",.,.,.,.,.,.
